,dailySwapVolumeSnapshots_volumeUSD,dailySwapVolumeSnapshots_datetime
611,3270777.8760751933,2022-03-19
612,4451.898816314765,2022-03-19
613,5824391.555660926,2022-03-19
614,11.489206297113256,2022-03-19
615,32792.55582471896,2022-03-18
616,5012.852951393553,2022-03-18
617,24538.77279000485,2022-03-18
618,72930.12154988814,2022-03-18
619,89930.64391107956,2022-03-18
620,103747.5488685,2022-03-18
621,6717245.895056555,2022-03-18
622,6955.3463160897745,2022-03-18
623,998908.8237397244,2022-03-18
624,105.65699975347032,2022-03-18
625,52928.67660757809,2022-03-17
626,33381.44487998317,2022-03-17
627,139121.8451928568,2022-03-17
628,73974.11543114898,2022-03-17
629,201616.830296,2022-03-17
630,6331273.795073305,2022-03-17
631,11807.951282850527,2022-03-17
632,6549.959800378219,2022-03-17
633,1160750.0919881426,2022-03-17
634,170.79772420718604,2022-03-17
635,118476.73712301732,2022-03-16
636,29.216142686134027,2022-03-16
637,15084.4178862867,2022-03-16
638,50084.93255155613,2022-03-16
639,238164.83820263972,2022-03-16
640,129531.4879375,2022-03-16
641,23714944.214422192,2022-03-16
642,2879.1794605294135,2022-03-16
643,19160.65247992818,2022-03-16
644,1970059.2373280718,2022-03-16
645,12.276093346472111,2022-03-16
646,76161.6461198296,2022-03-15
647,941.6178026131781,2022-03-15
648,60.24320975395748,2022-03-15
649,96571.91719875399,2022-03-15
650,141269.03874728212,2022-03-15
651,29328.8362795,2022-03-15
652,11446006.052154599,2022-03-15
653,7155321.715037013,2022-03-15
654,184693.246506395,2022-03-15
655,2.6278340956499657,2022-03-15
656,70907.30087010682,2022-03-14
657,6.511854868665851,2022-03-14
658,555306.8415426252,2022-03-14
659,75089.82136302572,2022-03-14
660,5128.683056,2022-03-14
661,5.000468123204177,2022-03-14
662,9864891.420409676,2022-03-14
663,1162055.2372216368,2022-03-14
664,0.7904026026107037,2022-03-14
665,10685.834677479492,2022-03-13
666,0.9993085,2022-03-13
667,404.9791200716254,2022-03-13
668,62548.389750960945,2022-03-13
669,117821.6536110654,2022-03-13
670,58329.91595,2022-03-13
671,9283455.647497034,2022-03-13
672,451641.4912677728,2022-03-13
673,0.0,2022-03-13
674,9147.050412313327,2022-03-12
675,597.6133636661083,2022-03-12
676,24998.233209192465,2022-03-12
677,125596.31618423719,2022-03-12
678,8441.607573,2022-03-12
679,11576505.062319364,2022-03-12
680,9.686993154934676e-05,2022-03-12
681,708192.726882171,2022-03-12
682,0.0,2022-03-12
683,24999.994272552274,2022-03-11
684,2783.395887924884,2022-03-11
685,32163.400487029692,2022-03-11
686,135207.38941276263,2022-03-11
687,48825.4588605,2022-03-11
688,9737668.147208177,2022-03-11
689,520203.4131191672,2022-03-11
690,0.7870087163629028,2022-03-11
691,2731.6857806627786,2022-03-10
692,3699.254788493825,2022-03-10
693,126390.35420759852,2022-03-10
694,150489.09368855844,2022-03-10
695,170989.579107,2022-03-10
696,8295060.346710709,2022-03-10
697,997284.8447990734,2022-03-10
698,2.5830338027380058,2022-03-10
699,11603.20249282696,2022-03-09
700,0.11827816814591784,2022-03-09
701,104668.08770068662,2022-03-09
702,146503.96652292443,2022-03-09
703,185914.155394,2022-03-09
704,6417901.837692161,2022-03-09
705,229802.0292262254,2022-03-09
706,13.147246850320652,2022-03-09
707,55302.45245127029,2022-03-08
708,0.7390297979561994,2022-03-08
709,278903.67639880785,2022-03-08
710,39943.25701637538,2022-03-08
711,121175.0560525,2022-03-08
712,18545235.33251981,2022-03-08
713,10640.590157128177,2022-03-08
714,197.87578706637552,2022-03-08
715,178844.84282111147,2022-03-07
716,20000.467389568803,2022-03-07
717,32.68913380640837,2022-03-07
718,62996.23473798418,2022-03-07
719,318053.78460262634,2022-03-07
720,237655.7442,2022-03-07
721,10635555.105394088,2022-03-07
722,269659.10916616785,2022-03-07
723,7438.556122351472,2022-03-06
724,10007997.996072112,2022-03-06
